normalization,start date,,population,,,,,start date,,population,,,,,start date,,population,,,,,start date,,population,,,,,start date,,population,,,,,start date,,population,,,,,start date,,population,,,,,start date,,population,,,,,start date,,population,,,,,start date,,population,,,,,start date,,population,,,,
,20200222,,60.263,,,,,20200301,,83.019,,,,,20200229,,46.723,,,,,20200304,,6.573,,,,,20200219,,51.709,,,,,20200301,,67.545,,,,,20200227,,10.333,,,,,20200227,,0.521,,,,,20200229,,8.903,,,,,20200227,,8.655,,,,,20200307,,331.003,,,,
day,n(it),t(it),nx(it),tx(it),q(it),td(it),in(it),n(de),t(de),nx(de),tx(de),q(de),td(de),in(de),n(es),t(es),nx(es),tx(es),q(es),td(es),in(es),n(ie),t(ie),nx(ie),tx(ie),q(ie),td(ie),in(ie),n(kr),t(kr),nx(kr),tx(kr),q(kr),td(kr),in(kr),n(uk),t(uk),nx(uk),tx(uk),q(uk),td(uk),in(uk),n(se),t(se),nx(se),tx(se),q(se),td(se),in(se),n(st),t(st),nx(st),tx(st),q(st),td(st),in(st),n(at),t(at),nx(at),tx(at),q(at),td(at),in(at),n(ch),t(ch),nx(ch),tx(ch),q(ch),td(ch),in(ch),n(us),t(us),nx(us),tx(us),q(us),td(us),in(us)
25,3526,31506,3526,31506,1.13,4.5,35.4,4332,37323,3145,27093,1.13,4.6,30.1,6922,42058,8928,54246,1.20,4.0,64.7,294,2415,2695,22141,1.14,4.2,24.8,107,8086,125,9424,1.01,41.3,2.0,1452,9529,1295,8502,1.18,3.9,10.2,164,1934,956,11279,1.09,7.6,8.7,57,678,6593,78423,1.09,4.0,91.0,809,5283,5476,35760,1.18,3.5,44.4,611,7474,4254,52040,1.09,3.5,60.7,25176,193353,4584,35202,1.15,4.0,41.7
26,4207,35713,4207,35713,1.13,4.8,38.6,6615,43938,4802,31894,1.18,5.2,34.5,7457,49515,9618,63864,1.18,4.1,74.4,200,2615,1834,23975,1.08,4.9,26.0,76,8162,89,9512,1.01,47.4,1.6,2129,11658,1899,10401,1.22,3.9,12.4,112,2046,653,11932,1.06,7.7,9.0,46,724,5321,83744,1.07,4.5,92.7,305,5588,2064,37824,1.06,4.4,44.3,1321,8795,9198,61238,1.18,3.5,74.4,26942,220295,4905,40107,1.14,4.4,45.7
27,5322,41035,5322,41035,1.15,4.9,43.0,6933,50871,5033,36927,1.16,5.1,37.4,8271,57786,10668,74532,1.17,4.2,85.0,295,2910,2705,26680,1.11,5.3,27.2,74,8236,86,9598,1.01,45.2,1.5,2885,14543,2574,12975,1.25,3.9,15.6,253,2299,1476,13408,1.12,7.3,10.7,65,789,7518,91262,1.09,5.5,95.6,1321,6909,8942,46766,1.24,4.3,53.1,1082,9877,7534,68772,1.12,3.5,82.4,30413,250708,5537,45644,1.14,4.8,49.6
28,5986,47021,5986,47021,1.15,5.2,48.7,6824,57695,4954,41880,1.13,4.9,42.6,7933,65719,10232,84764,1.14,4.4,94.5,325,3235,2980,29659,1.11,5.7,29.0,84,8320,98,9696,1.01,59.1,1.6,2546,17089,2272,15247,1.18,3.8,17.9,227,2526,1324,14732,1.10,7.4,11.9,47,836,5436,96698,1.06,6.3,88.3,788,7697,5334,52100,1.11,4.4,56.7,1020,10897,7102,75874,1.10,4.3,89.9,32769,283477,5966,51610,1.13,5.1,53.9
29,6557,53578,6557,53578,1.14,5.4,53.8,4740,62435,3441,45321,1.08,5.4,45.2,7516,73235,9694,94458,1.11,4.4,102.2,212,3447,1944,31603,1.07,6.5,28.6,93,8413,108,9805,1.01,62.2,1.3,2433,19522,2171,17417,1.14,3.9,20.5,314,2840,1831,16563,1.12,7.5,13.6,74,910,8559,105258,1.09,8.2,91.0,574,8271,3885,55985,1.07,4.9,59.3,914,11811,6364,82238,1.08,5.5,87.7,34517,317994,6284,57895,1.12,5.3,58.4
30,5560,59138,5560,59138,1.10,5.6,57.1,4450,66885,3230,48551,1.07,5.9,45.6,6875,80110,8867,103325,1.09,5.0,109.9,402,3849,3686,35289,1.12,7.0,30.9,152,8565,177,9982,1.02,58.7,1.3,2619,22141,2337,19754,1.13,4.1,22.9,229,3069,1336,17899,1.08,7.5,13.8,93,1003,10757,116015,1.10,8.7,87.3,517,8788,3499,59485,1.06,6.1,58.5,1117,12928,7777,90015,1.09,6.5,84.5,25753,343747,4689,62583,1.08,5.8,60.0
31,4789,63927,4789,63927,1.08,5.9,59.7,4923,71808,3574,52125,1.07,6.3,46.8,7846,87956,10120,113445,1.10,5.6,113.0,424,4273,3887,39176,1.11,7.3,32.7,87,8652,101,10083,1.01,61.4,1.3,3009,25150,2685,22439,1.14,4.3,25.3,378,3447,2205,20103,1.12,7.2,16.2,79,1082,9138,125153,1.08,8.9,88.5,830,9618,5618,65103,1.09,6.8,57.8,1148,14076,7993,98008,1.09,6.5,83.3,31601,375348,5753,68337,1.09,6.3,62.6
32,5249,69176,5249,69176,1.08,6.3,62.5,6173,77981,4481,56606,1.09,7.2,49.0,7967,95923,10276,123721,1.09,6.3,115.3,331,4604,3035,42211,1.08,7.3,33.3,147,8799,171,10255,1.02,55.3,1.4,4324,29474,3858,26296,1.17,4.5,29.5,253,3700,1476,21579,1.07,7.0,17.1,123,1205,14227,139380,1.11,8.2,101.2,562,10180,3804,68907,1.06,6.8,55.0,753,14829,5243,103251,1.05,7.9,85.0,33877,409225,6168,74504,1.09,6.7,65.2
33,5210,74386,5210,74386,1.08,7.0,64.2,6813,84794,4946,61551,1.09,8.1,49.2,8195,104118,10570,134291,1.09,7.1,116.9,390,4994,3576,45786,1.08,7.7,36.2,98,8897,114,10369,1.01,53.9,1.4,4244,33718,3786,30083,1.14,4.9,32.7,328,4028,1913,23492,1.09,7.4,19.2,87,1292,10063,149443,1.07,8.4,109.0,531,10711,3594,72501,1.05,9.5,57.5,1093,15922,7610,110862,1.07,8.7,82.3,32344,441569,5889,80393,1.08,7.3,66.8
34,6203,80589,6203,80589,1.08,7.7,65.6,6365,91159,4620,66172,1.08,9.1,48.5,7947,112065,10250,144541,1.08,7.8,116.2,370,5364,3392,49179,1.07,8.2,37.3,64,8961,75,10443,1.01,56.0,1.4,4450,38168,3970,34053,1.13,5.2,35.0,407,4435,2374,25865,1.10,7.4,20.7,60,1352,6940,156383,1.05,8.6,108.1,418,11129,2829,75330,1.04,11.3,47.4,683,16605,4756,115617,1.04,9.9,77.7,33946,475515,6180,86573,1.08,8.0,67.9
