country,nx,tx,nx_avg
ie,183,236083,182
ie,92,236174,173
ie,55,236229,168
ie,330,236560,173
ie,156,236715,178
ie,64,236780,168
ie,174,236954,151
ie,220,237174,156
ie,110,237284,158
ie,101,237385,165
ie,339,237724,166
ie,119,237843,161
ie,779,238622,263
ie,348,238971,288
ie,,,257
ie,,,241
ie,,,227
ie,,,178
ie,,,161
ie,,,50
ie,,,
ie,,,
ie,,,
ie,,,
ie,,,
ie,,,
ie,,,
ie,,,
ie,,,
ie,,,
ie,,,
ie,,,
ie,,,
ie,,,
ie,,,
ie,,,
ie,,,
ie,,,
ie,,,
uk,11,37,19
uk,4,42,14
uk,20,62,16
uk,36,97,19
uk,49,146,23
uk,50,196,27
uk,46,242,31
uk,72,314,40
uk,54,368,47
uk,51,418,51
uk,132,550,65
uk,231,782,91
uk,362,1144,135
uk,432,1576,191
uk,426,2002,241
uk,322,2324,280
uk,394,2719,329
uk,545,3264,388
uk,686,3950,453
uk,891,4841,528
uk,941,5782,601
uk,1120,6902,700
uk,1069,7971,807
uk,1229,9200,926
uk,2086,11286,1146
uk,2119,13405,1351
uk,2402,15807,1567
uk,2754,18561,1826
uk,2852,21413,2073
uk,2518,23931,2280
uk,2550,26481,2469
uk,3812,30293,2715
uk,4027,34321,2988
uk,4383,38704,3271
uk,4343,43047,3498
uk,4382,47429,3716
uk,3587,51015,3869
uk,3205,54220,3963
uk,4713,58933,4091
uk,4862,63795,4211
uk,4578,68373,4238
uk,4334,72707,4237
uk,3848,76555,4161
uk,3193,79748,4105
uk,3113,82861,4092
uk,3728,86589,3951
uk,3860,90448,3808
uk,4519,94967,3799
uk,4721,99689,3855
uk,4422,104111,3936
uk,4212,108323,4082
uk,3438,111760,4128
uk,4331,116091,4215
uk,4247,120338,4270
uk,4895,125233,4324
uk,4602,129835,4307
uk,4434,134269,4308
uk,3344,137613,4184
uk,3099,140712,4136
uk,4199,144910,4117
uk,4219,149130,4113
uk,4855,153985,4107
uk,4431,158416,4083
uk,4226,162642,4053
uk,2881,165523,3987
uk,2661,168183,3924
uk,3024,171207,3757
uk,3285,174492,3623
