day,n(it),t(it),nx(it),tx(it),q(it),td(it),in(it),n(de),t(de),nx(de),tx(de),q(de),td(de),in(de),n(es),t(es),nx(es),tx(es),q(es),td(es),in(es),n(ie),t(ie),nx(ie),tx(ie),q(ie),td(ie),in(ie),n(kr),t(kr),nx(kr),tx(kr),q(kr),td(kr),in(kr),n(uk),t(uk),nx(uk),tx(uk),q(uk),td(uk),in(uk),n(se),t(se),nx(se),tx(se),q(se),td(se),in(se),n(st),t(st),nx(st),tx(st),q(st),td(st),in(st),n(at),t(at),nx(at),tx(at),q(at),td(at),in(at),n(ch),t(ch),nx(ch),tx(ch),q(ch),td(ch),in(ch),n(us),t(us),nx(us),tx(us),q(us),td(us),in(us)
1,58,79,58,79,1.00,,,54,111,39,81,1.00,,,19,54,25,70,1.00,,,4,6,37,55,1.00,,,15,46,17,54,1.00,,,12,42,11,37,1.00,,,1,2,6,12,1.00,,,0,1,0,116,1.00,,,3,10,20,68,1.00,,,7,8,49,56,1.00,,,105,338,19,62,1.00,,
2,78,157,78,157,1.99,,,18,129,13,94,1.16,,,28,82,36,106,1.52,,,7,13,64,119,2.17,,,34,80,40,93,1.74,,,5,47,4,42,1.12,,,5,7,29,41,3.50,,,0,1,0,116,1.00,,,4,14,27,95,1.40,,,4,12,28,84,1.50,,,95,433,17,79,1.28,,
3,72,229,72,229,1.46,,,28,157,20,114,1.22,,,54,136,70,175,1.66,,,5,18,46,165,1.38,,,75,155,87,181,1.94,,,22,69,20,62,1.47,,,5,12,29,70,1.71,,,0,1,0,116,1.00,,,4,18,27,122,1.29,,,6,18,42,125,1.50,,,121,554,22,101,1.28,,
4,93,322,93,322,1.41,,,39,196,28,142,1.25,,,56,192,72,248,1.41,,,1,19,9,174,1.06,,,190,345,221,402,2.23,,,40,109,36,97,1.58,,,1,13,6,76,1.08,,,0,1,0,116,1.00,,,6,24,41,162,1.33,,,6,24,42,167,1.33,,,200,754,36,137,1.36,,
5,78,400,78,400,1.24,,,66,262,48,190,1.34,,,75,267,97,344,1.39,,,2,21,18,193,1.11,,,256,601,298,700,1.74,,,55,164,49,146,1.50,,,1,14,6,82,1.08,,,0,1,0,116,1.00,,,5,29,34,196,1.21,,,6,30,42,209,1.25,,,271,1025,49,187,1.36,,
6,250,650,250,650,1.63,1.9,,138,400,100,290,1.53,3.1,,81,348,104,449,1.30,2.1,,14,35,128,321,1.67,2.1,,161,762,188,888,1.27,1.4,,56,220,50,196,1.34,2.4,,1,15,6,87,1.07,1.5,,0,1,0,116,1.00,,,12,41,81,278,1.41,2.9,,7,37,49,258,1.23,2.6,,287,1312,52,239,1.28,3.0,
7,238,888,238,888,1.37,1.7,1.4,284,684,206,497,1.71,2.2,0.8,183,531,236,685,1.53,1.8,1.1,8,43,73,394,1.23,1.9,0.6,130,892,152,1040,1.17,1.3,1.7,51,271,46,242,1.23,2.2,0.4,9,24,52,140,1.60,1.3,0.2,0,1,0,116,1.00,,0.0,33,74,223,501,1.80,2.0,0.8,20,57,139,397,1.54,2.1,0.6,351,1663,64,303,1.27,2.6,0.4
8,240,1128,240,1128,1.27,2.1,1.7,163,847,118,615,1.24,2.2,0.9,233,764,301,985,1.44,1.8,1.5,27,70,248,642,1.63,2.3,1.0,254,1146,296,1336,1.28,1.5,2.1,81,352,72,314,1.30,2.0,0.5,11,35,64,204,1.46,2.4,0.3,0,1,0,116,1.00,,0.0,25,99,169,670,1.34,2.1,1.0,30,87,209,606,1.53,2.1,0.9,511,2174,93,396,1.31,2.6,0.6
9,566,1694,566,1694,1.50,2.1,2.6,55,902,40,655,1.06,2.3,0.9,330,1094,426,1411,1.43,2.0,2.2,21,91,193,834,1.30,2.4,1.2,449,1595,523,1859,1.39,1.7,2.9,60,412,54,368,1.17,2.3,0.5,26,61,152,356,1.74,2.4,0.5,3,4,347,463,4.00,1.7,0.6,3,102,20,690,1.03,2.3,1.0,122,209,849,1455,2.40,1.6,2.3,777,2951,141,537,1.36,2.5,0.8
10,342,2036,342,2036,1.20,2.2,3.0,237,1139,172,827,1.26,2.3,1.2,433,1527,558,1970,1.40,2.0,3.0,38,129,348,1183,1.42,2.1,1.7,427,2022,498,2356,1.27,2.3,3.6,57,469,51,418,1.14,2.8,0.6,76,137,443,799,2.25,1.6,1.2,5,9,578,1041,2.25,1.3,1.5,29,131,196,887,1.28,2.3,1.3,55,264,383,1838,1.26,1.6,2.8,823,3774,150,687,1.28,2.6,1.0
11,466,2502,466,2502,1.23,2.2,3.6,157,1296,114,941,1.14,2.5,1.3,772,2299,996,2965,1.51,1.9,4.5,40,169,367,1549,1.31,2.0,2.3,909,2931,1059,3416,1.45,2.6,5.0,148,617,132,550,1.32,3.1,0.8,24,161,140,939,1.18,1.6,1.4,0,9,0,1041,1.00,1.3,1.5,51,182,345,1232,1.39,2.2,1.8,68,332,473,2312,1.26,1.6,3.6,887,4661,161,849,1.24,2.7,1.2
12,587,3089,587,3089,1.23,2.6,4.5,271,1567,197,1137,1.21,2.9,1.6,975,3274,1258,4223,1.42,1.9,6.4,54,223,495,2045,1.32,2.2,3.1,595,3526,693,4109,1.20,2.7,5.7,259,876,231,782,1.42,3.0,1.1,42,203,245,1184,1.26,1.5,1.8,0,9,0,1041,1.00,1.3,1.5,64,246,433,1665,1.35,2.2,2.4,42,374,292,2604,1.13,1.7,4.0,1766,6427,322,1170,1.38,2.6,1.6
13,769,3858,769,3858,1.25,2.8,5.3,802,2369,582,1720,1.51,3.3,2.4,1153,4427,1487,5710,1.35,2.0,8.7,69,292,633,2677,1.31,2.1,3.9,686,4212,799,4909,1.19,2.7,6.7,406,1282,362,1144,1.46,2.6,1.6,45,248,262,1446,1.22,1.7,2.3,29,38,3354,4395,4.22,0.9,7.1,115,361,778,2444,1.47,2.6,3.6,116,490,808,3412,1.31,1.8,5.2,2988,9415,544,1714,1.46,2.4,2.4
14,778,4636,778,4636,1.20,2.9,6.2,693,3062,503,2223,1.29,3.1,2.9,1531,5958,1975,7685,1.35,2.0,11.6,74,366,678,3356,1.25,2.5,4.9,600,4812,699,5608,1.14,2.9,7.6,484,1766,432,1576,1.38,2.5,2.2,78,326,455,1901,1.31,1.7,2.9,37,75,4280,8675,1.97,0.8,14.2,143,504,968,3411,1.40,2.5,4.8,152,642,1058,4470,1.31,1.9,6.8,4835,14250,880,2594,1.51,2.2,3.8
15,1247,5883,1247,5883,1.27,3.3,7.9,733,3795,532,2755,1.24,2.8,3.6,1683,7641,2171,9855,1.28,2.1,14.7,191,557,1751,5107,1.52,2.3,7.4,516,5328,601,6209,1.11,3.4,8.1,478,2244,426,2002,1.27,2.4,2.8,136,462,793,2694,1.42,1.9,4.1,29,104,3354,12029,1.39,1.0,19.8,151,655,1022,4434,1.30,2.2,6.2,212,854,1476,5946,1.33,2.9,8.9,5374,19624,978,3573,1.38,2.2,5.3
16,1492,7375,1492,7375,1.25,3.2,9.4,1043,4838,757,3512,1.27,2.8,4.7,2144,9785,2765,12621,1.28,2.2,18.6,126,683,1155,6262,1.23,2.5,9.0,438,5766,510,6720,1.08,3.9,8.1,361,2605,322,2324,1.16,2.4,3.2,158,620,921,3616,1.34,2.7,5.4,21,125,2429,14458,1.20,1.2,23.2,205,860,1388,5821,1.31,2.2,8.5,267,1121,1859,7805,1.31,2.9,10.5,7123,26747,1297,4870,1.36,2.1,7.2
17,1797,9172,1797,9172,1.24,3.2,11.8,1174,6012,852,4364,1.24,2.7,5.9,1706,11491,2200,14821,1.17,2.6,21.3,102,785,935,7197,1.15,2.7,10.0,518,6284,604,7324,1.09,5.4,8.2,442,3047,394,2719,1.17,2.6,3.8,155,775,904,4520,1.25,2.6,6.2,48,173,5552,20011,1.38,1.1,31.5,156,1016,1056,6877,1.18,2.4,9.9,238,1359,1657,9462,1.21,2.9,12.7,8459,35206,1540,6410,1.32,2.1,9.5
18,977,10149,977,10149,1.11,3.5,12.7,1144,7156,830,5194,1.19,2.7,7.1,2503,13994,3228,18049,1.22,2.8,25.0,121,906,1109,8306,1.15,2.9,11.2,483,6767,563,7886,1.08,6.3,7.4,611,3658,545,3264,1.20,2.9,4.5,149,924,869,5389,1.19,2.7,7.4,31,204,3586,23596,1.18,1.1,37.4,316,1332,2139,9016,1.31,2.4,12.9,841,2200,5856,15318,1.62,2.3,21.6,11236,46442,2046,8455,1.32,2.1,12.6
19,2313,12462,2313,12462,1.23,3.5,15.6,1042,8198,756,5951,1.15,3.3,8.0,3694,17688,4764,22814,1.26,3.0,30.8,219,1125,2008,10314,1.24,3.0,13.7,367,7134,428,8314,1.05,7.9,7.0,769,4427,686,3950,1.21,3.3,5.3,108,1032,630,6019,1.12,2.9,8.0,38,244,4395,28223,1.20,2.1,44.7,314,1646,2125,11142,1.24,2.7,15.7,0,2200,0,15318,1.00,2.7,21.1,8789,55231,1600,10055,1.19,2.3,14.7
20,2651,15113,2651,15113,1.21,3.5,18.7,5940,14138,4312,10263,1.72,2.6,14.2,4047,21735,5220,28034,1.23,3.2,37.0,204,1329,1870,12185,1.18,3.2,15.8,248,7382,289,8603,1.03,9.7,6.1,999,5426,891,4841,1.23,3.7,6.1,89,1121,519,6538,1.09,3.3,8.4,49,293,5668,33891,1.20,3.0,48.6,550,2196,3723,14864,1.33,2.8,20.6,450,2650,3133,18451,1.20,2.8,25.0,13963,69194,2542,12598,1.25,2.6,18.1
21,2547,17660,2547,17660,1.17,3.8,21.6,4049,18187,2939,13202,1.29,2.6,18.2,4569,26304,5893,33927,1.21,3.4,43.5,235,1564,2155,14339,1.18,4.0,18.2,131,7513,153,8756,1.02,12.0,5.2,1055,6481,941,5782,1.19,3.9,7.0,46,1167,268,6806,1.04,4.4,8.1,90,383,10410,44301,1.31,3.2,58.7,453,2649,3066,17931,1.21,3.0,24.1,353,3003,2458,20909,1.13,3.1,27.3,16797,85991,3058,15656,1.24,2.8,21.7
22,3497,21157,3497,21157,1.20,3.9,25.3,3276,21463,2378,15580,1.18,2.7,21.3,5446,31750,7024,40951,1.21,3.5,51.6,255,1819,2338,16677,1.16,4.2,19.2,242,7755,282,9038,1.03,14.0,4.7,1255,7736,1120,6902,1.19,3.8,8.1,134,1301,782,7588,1.11,5.5,8.1,58,441,6709,51010,1.15,3.3,64.3,375,3024,2538,20469,1.14,3.3,26.6,860,3863,5988,26897,1.29,3.2,34.8,18695,104686,3404,19059,1.22,3.0,25.7
23,3590,24747,3590,24747,1.17,4.2,28.8,3311,24774,2403,17983,1.15,2.8,24.0,4866,36616,6276,47227,1.15,3.6,57.4,302,2121,2769,19446,1.17,4.2,21.9,114,7869,133,9171,1.01,18.4,4.1,1198,8934,1069,7971,1.15,3.9,9.4,122,1423,712,8299,1.09,6.8,7.8,114,555,13186,64196,1.26,3.6,82.1,607,3631,4109,24578,1.20,3.2,31.1,943,4806,6566,33463,1.24,3.1,42.6,19979,124665,3637,22697,1.19,3.3,29.6
24,3233,27980,3233,27980,1.13,4.1,31.2,4438,29212,3222,21205,1.18,2.8,27.9,4646,41262,5992,53219,1.13,3.8,63.7,294,2415,2695,22141,1.14,4.2,24.8,110,7979,128,9299,1.01,25.2,3.3,1378,10312,1229,9200,1.15,4.0,10.8,200,1623,1166,9465,1.14,7.4,8.2,68,623,7865,72061,1.12,3.7,86.0,855,4486,5787,30365,1.24,3.4,39.0,1271,6077,8850,42313,1.26,4.0,54.5,18360,143025,3343,26039,1.15,3.7,32.6
25,3526,31506,3526,31506,1.13,4.5,35.4,2342,31554,1700,22905,1.08,2.9,29.4,7691,48953,9920,63139,1.19,4.1,74.8,200,2615,1834,23975,1.08,4.9,26.0,107,8086,125,9424,1.01,33.1,2.6,2338,12650,2086,11286,1.23,4.0,13.3,123,1746,717,10183,1.08,7.9,8.0,59,682,6824,78886,1.09,4.0,91.4,796,5282,5388,35753,1.18,3.5,44.4,894,6971,6225,48538,1.15,3.6,55.1,21595,164620,3932,29971,1.15,3.8,35.7
26,4207,35713,4207,35713,1.13,4.8,38.6,4954,36508,3596,26501,1.16,4.3,34.1,8553,57506,11032,74171,1.17,4.3,85.2,295,2910,2705,26680,1.11,5.3,27.2,76,8162,89,9512,1.01,41.3,2.0,2375,15025,2119,13405,1.19,4.1,15.7,160,1906,933,11116,1.09,7.8,8.5,42,724,4858,83744,1.06,4.5,92.1,606,5888,4102,39855,1.11,4.2,47.6,1044,8015,7269,55807,1.15,3.7,67.2,24998,189618,4551,34522,1.15,4.1,40.6
27,5322,41035,5322,41035,1.15,4.9,43.0,5780,42288,4196,30697,1.16,4.9,33.9,8954,66460,11549,85720,1.16,4.5,95.7,325,3235,2980,29659,1.11,5.7,29.0,74,8236,86,9598,1.01,45.2,1.7,2692,17717,2402,15807,1.18,4.1,18.2,110,2016,642,11757,1.06,7.6,8.7,65,789,7518,91262,1.09,5.7,95.2,1141,7029,7723,47578,1.19,4.2,54.3,774,8789,5389,61196,1.10,3.8,70.9,27103,216721,4934,39457,1.14,4.5,44.6
28,5986,47021,5986,47021,1.15,5.2,48.7,6294,48582,4569,35265,1.15,5.1,36.6,9181,75641,11842,97561,1.14,4.8,105.6,212,3447,1944,31603,1.07,6.5,28.6,84,8320,98,9696,1.01,59.1,1.6,3087,20804,2754,18561,1.17,4.2,21.2,256,2272,1493,13251,1.13,7.4,10.7,47,836,5436,96698,1.06,6.4,86.9,668,7697,4522,52100,1.10,4.4,56.7,925,9714,6441,67637,1.11,4.5,77.5,28819,245540,5247,44703,1.13,4.9,48.2
29,6557,53578,6557,53578,1.14,5.4,53.8,3965,52547,2878,38144,1.08,5.5,37.4,8244,83885,10633,108194,1.11,5.0,111.6,402,3849,3686,35289,1.12,7.0,30.9,93,8413,108,9805,1.01,62.2,1.3,3197,24001,2852,21413,1.15,4.2,24.1,238,2510,1388,14639,1.10,7.3,11.7,74,910,8559,105258,1.09,8.4,90.0,594,8291,4021,56120,1.08,5.0,59.2,1000,10714,6963,74599,1.10,5.1,79.2,32425,277965,5903,50607,1.13,5.2,52.3
30,5560,59138,5560,59138,1.10,5.6,57.1,4751,57298,3449,41592,1.09,6.1,39.2,6424,90309,8286,116480,1.08,5.3,114.9,424,4273,3887,39176,1.11,7.3,32.7,152,8565,177,9982,1.02,58.7,1.3,2822,26823,2518,23931,1.12,4.3,26.5,296,2806,1726,16365,1.12,7.6,13.4,93,1003,10757,116015,1.10,8.7,86.0,522,8813,3533,59654,1.06,6.1,58.2,1390,12104,9678,84278,1.13,6.0,84.3,34272,312237,6240,56846,1.12,5.3,56.7
31,4789,63927,4789,63927,1.08,5.9,59.7,4615,61913,3350,44942,1.08,6.1,39.4,5813,96122,7498,123977,1.06,6.1,117.4,331,4604,3035,42211,1.08,7.3,33.3,87,8652,101,10083,1.01,61.4,1.3,2858,29681,2550,26481,1.11,4.9,28.7,240,3046,1400,17765,1.09,7.5,13.8,79,1082,9138,125153,1.08,9.0,88.1,805,9618,5449,65103,1.09,6.9,57.6,1048,13152,7297,91575,1.09,6.5,81.7,25398,337635,4624,61470,1.08,5.8,58.8
32,5249,69176,5249,69176,1.08,6.3,62.5,5453,67366,3958,48901,1.09,6.8,43.1,8145,104267,10505,134483,1.08,7.0,118.4,507,5111,4648,46859,1.11,7.4,38.0,147,8799,171,10255,1.02,55.3,1.4,4273,33954,3812,30293,1.14,5.1,31.5,401,3447,2339,20103,1.13,7.0,16.5,123,1205,14227,139380,1.11,8.2,100.4,564,10182,3818,68920,1.06,7.5,55.0,1122,14274,7812,99387,1.09,7.2,84.4,30561,368196,5564,67034,1.09,6.3,61.5
33,5210,74386,5210,74386,1.08,7.0,64.2,6156,73522,4469,53369,1.09,7.5,44.6,7413,111680,9561,144044,1.07,8.0,115.9,253,5364,2320,49179,1.05,8.2,37.3,98,8897,114,10369,1.01,53.9,1.4,4514,38468,4027,34321,1.13,5.4,34.7,253,3700,1476,21579,1.07,6.8,17.4,87,1292,10063,149443,1.07,8.4,109.0,529,10711,3581,72501,1.05,9.9,54.2,1138,15412,7924,107311,1.08,7.4,85.5,30613,398809,5573,72608,1.08,6.8,63.2
34,6153,80539,6153,80539,1.08,7.7,65.6,6174,79696,4482,57851,1.08,8.4,45.1,7583,119263,9781,153825,1.07,9.1,113.0,345,5709,3163,52342,1.06,8.2,37.6,64,8961,75,10443,1.01,56.0,1.4,4913,43381,4383,38704,1.13,5.7,38.0,328,4028,1913,23492,1.09,7.3,19.5,60,1352,6940,156383,1.05,8.6,108.1,418,11129,2829,75330,1.04,11.3,46.1,696,16108,4846,112157,1.05,8.2,84.6,33323,432132,6067,78675,1.08,7.3,65.1
35,5959,86498,5959,86498,1.07,8.7,65.5,6082,85778,4415,62266,1.08,8.5,44.8,7272,126535,9379,163204,1.06,10.1,108.9,515,6224,4722,57063,1.09,8.6,42.2,76,9037,89,10532,1.01,58.1,1.4,4868,48249,4343,43047,1.11,6.0,40.6,407,4435,2374,25865,1.10,7.3,20.9,46,1398,5321,161704,1.03,9.6,107.9,396,11525,2680,78011,1.04,12.6,43.0,962,17070,6698,118855,1.06,8.9,85.0,33901,466033,6172,84847,1.08,8.0,66.6
36,5974,92472,5974,92472,1.07,9.3,64.5,5936,91714,4309,66575,1.07,8.8,47.2,6663,133198,8594,171798,1.05,10.7,105.5,1169,7393,10718,67781,1.19,7.5,53.9,100,9137,117,10648,1.01,64.3,1.4,4911,53160,4382,47429,1.10,6.1,43.2,512,4947,2986,28851,1.12,7.3,23.6,45,1443,5205,166909,1.03,11.4,102.3,241,11766,1631,79642,1.02,14.3,39.0,1124,18194,7826,126681,1.07,10.2,86.4,35527,501560,6468,91315,1.08,8.8,67.6
37,5217,97689,5217,97689,1.06,9.8,64.0,3677,95391,2669,69244,1.04,9.6,45.9,5533,138731,7136,178934,1.04,11.3,103.6,696,8089,6381,74162,1.09,7.3,58.1,104,9241,121,10770,1.01,63.1,1.3,4020,57180,3587,51015,1.08,6.3,44.9,519,5466,3027,31878,1.10,7.1,25.7,79,1522,9138,176047,1.05,12.1,99.6,217,11983,1469,81111,1.02,18.9,35.6,1033,19227,7193,133874,1.06,10.9,82.3,28391,529951,5169,96484,1.06,9.2,65.8
38,4050,101739,4050,101739,1.04,10.8,62.7,3834,99225,2783,72027,1.04,10.7,44.9,3667,142398,4730,183664,1.03,13.3,99.0,839,8928,7692,81854,1.10,7.4,65.8,91,9332,106,10876,1.01,70.7,1.3,3592,60772,3205,54220,1.06,7.1,46.0,612,6078,3569,35447,1.11,7.3,29.3,89,1611,10294,186341,1.06,14.3,101.5,314,12297,2125,83236,1.03,22.0,30.1,974,20201,6782,140655,1.05,12.0,81.4,27620,557571,5029,101512,1.05,10.0,66.4
39,4053,105792,4053,105792,1.04,11.8,60.8,4003,103228,2906,74933,1.04,12.2,43.2,5209,147607,6719,190382,1.04,14.9,92.8,727,9655,6665,88520,1.08,7.0,69.1,146,9478,170,11046,1.02,65.7,1.3,5282,66054,4713,58933,1.09,7.7,47.5,365,6443,2129,37576,1.06,7.5,29.0,42,1653,4858,191199,1.03,16.9,86.0,343,12640,2322,85558,1.03,25.1,27.6,821,21022,5716,146372,1.04,13.4,78.0,25023,582594,4556,106068,1.04,11.0,64.8
40,4782,110574,4782,110574,1.05,13.1,60.1,4974,108202,3611,78543,1.05,13.6,41.8,5583,153190,7201,197583,1.04,16.6,88.8,992,10647,9095,97615,1.10,6.6,80.4,105,9583,122,11168,1.01,62.0,1.3,5450,71504,4862,63795,1.08,8.3,48.9,387,6830,2257,39833,1.06,7.9,30.3,79,1732,9138,200337,1.05,16.8,84.5,329,12969,2227,87785,1.03,27.2,25.4,552,21574,3843,150215,1.03,14.2,71.2,26922,609516,4901,110970,1.05,12.1,63.7
41,4668,115242,4668,115242,1.04,14.5,57.6,5323,113525,3864,82407,1.05,14.8,40.7,5745,158935,7410,204993,1.04,18.2,84.9,832,11479,7628,105243,1.08,6.8,87.8,78,9661,91,11259,1.01,62.3,1.4,5131,76635,4578,68373,1.07,9.0,49.2,376,7206,2193,42026,1.06,8.5,30.8,59,1791,6824,207161,1.03,16.8,84.3,279,13248,1889,89674,1.02,29.8,23.8,590,22164,4108,154323,1.03,15.9,70.0,30148,639664,5489,116458,1.05,13.1,62.7
42,4585,119827,4585,119827,1.04,16.0,55.3,4133,117658,3000,85407,1.04,16.7,38.4,4537,163472,5852,210845,1.03,20.3,79.1,1068,12547,9792,115034,1.09,7.9,96.2,125,9786,146,11405,1.01,60.6,1.4,4858,81493,4334,72707,1.06,9.7,49.2,487,7693,2840,44866,1.07,9.4,31.5,68,1859,7865,215027,1.04,16.4,88.5,312,13560,2112,91785,1.02,29.3,22.9,546,22710,3802,158125,1.02,18.7,65.2,31667,671331,5765,122224,1.05,14.3,62.0
43,4805,124632,4805,124632,1.04,17.1,53.4,2821,120479,2048,87455,1.02,17.8,34.6,4550,168022,5869,216714,1.03,21.7,74.5,724,13271,6638,121672,1.06,8.4,89.4,0,9786,0,11405,1.00,72.5,1.3,4313,85806,3848,76555,1.05,10.2,48.3,726,8419,4234,49100,1.09,9.6,33.6,52,1911,6015,221041,1.03,18.2,89.8,247,13807,1672,93457,1.02,29.3,22.9,785,23495,5466,163591,1.03,20.7,61.2,30833,702164,5614,127837,1.05,14.8,60.6
44,4316,128948,4316,128948,1.03,17.5,51.9,2537,123016,1842,89297,1.02,19.3,33.3,3899,171921,5029,221743,1.02,22.1,71.0,709,13980,6500,128172,1.05,9.3,89.6,190,9976,221,11626,1.02,62.2,1.4,3579,89385,3193,79748,1.04,10.8,47.7,722,9141,4211,53311,1.09,10.2,35.6,63,1974,7287,228329,1.03,20.5,86.8,130,13937,880,94337,1.01,33.2,21.9,733,24228,5104,168695,1.03,22.9,57.8,32922,735086,5994,133831,1.05,15.0,62.0
45,3599,132547,3599,132547,1.03,18.4,51.1,2082,125098,1511,90808,1.02,21.6,31.2,3030,174951,3908,225651,1.02,24.4,69.7,778,14758,7133,135305,1.06,9.8,88.7,86,10062,100,11727,1.01,69.4,1.4,3489,92874,3113,82861,1.04,12.2,47.5,544,9685,3173,56484,1.06,10.2,34.9,67,2041,7750,236078,1.03,19.7,82.5,106,14043,717,95055,1.01,39.5,19.6,592,24820,4122,172817,1.02,25.0,53.4,24601,759687,4479,138310,1.03,15.7,61.1
46,3039,135586,3039,135586,1.02,20.4,49.4,2486,127584,1805,92612,1.02,25.2,29.3,3116,178067,4019,229670,1.02,27.6,65.2,493,15251,4520,139825,1.03,11.5,85.1,94,10156,110,11836,1.01,71.5,1.3,4178,97052,3728,86589,1.04,13.6,45.9,466,10151,2718,59202,1.05,10.5,35.9,53,2094,6130,242209,1.03,21.9,84.6,191,14234,1293,96348,1.01,44.6,17.9,400,25220,2785,175602,1.02,26.6,48.5,28065,787752,5110,143420,1.04,16.2,62.0
47,3836,139422,3836,139422,1.03,21.8,47.9,2866,130450,2080,94693,1.02,29.9,26.8,4424,182491,5706,235376,1.02,30.1,62.7,401,15652,3676,143502,1.03,13.4,76.1,81,10237,94,11930,1.01,71.7,1.3,4326,101378,3860,90448,1.04,14.9,44.2,332,10483,1936,61138,1.03,11.1,35.4,51,2145,5899,248108,1.02,23.0,79.3,136,14370,921,97268,1.01,51.1,15.7,279,25499,1943,177544,1.01,29.6,45.3,37289,825041,6789,150208,1.05,16.3,65.1
48,4204,143626,4204,143626,1.03,22.9,47.1,3380,133830,2454,97146,1.03,32.3,24.5,3820,186311,4927,240303,1.02,31.8,58.6,388,16040,3557,147059,1.02,16.9,69.4,47,10284,55,11985,1.00,83.6,1.2,5065,106443,4519,94967,1.05,15.6,44.1,465,10948,2712,63850,1.04,11.7,36.2,35,2180,4048,252156,1.02,26.1,74.7,78,14448,528,97796,1.01,65.5,13.5,254,25753,1769,179313,1.01,33.0,41.5,17588,842629,3202,153411,1.02,18.3,61.3
49,3951,147577,3951,147577,1.03,24.6,46.0,3609,137439,2620,99766,1.03,31.6,23.8,3818,190129,4924,245227,1.02,33.6,57.1,631,16671,5785,152844,1.04,18.2,62.7,47,10331,55,12040,1.00,76.6,1.1,5292,111735,4721,99689,1.05,15.7,44.8,497,11445,2899,66748,1.05,13.5,36.3,44,2224,5089,257246,1.02,27.4,70.1,155,14603,1049,98845,1.01,74.2,11.7,583,26336,4059,183372,1.02,36.4,41.9,26543,869172,4832,158243,1.03,19.5,59.8
50,4694,152271,4694,152271,1.03,25.0,45.9,2458,139897,1784,101550,1.02,32.3,23.4,3836,193965,4948,250175,1.02,34.5,55.5,936,17607,8581,161426,1.06,18.0,66.0,53,10384,62,12102,1.01,103.7,1.2,4956,116691,4422,104111,1.04,15.6,45.7,482,11927,2811,69559,1.04,15.6,33.9,44,2268,5089,262335,1.02,29.9,68.5,59,14662,399,99245,1.00,82.0,9.6,315,26651,2193,185565,1.01,43.6,36.5,21352,890524,3887,162130,1.02,21.7,56.9
51,4092,156363,4092,156363,1.03,25.2,45.5,1775,141672,1288,102839,1.01,33.4,22.5,-713,193252,-920,249255,1.00,41.7,45.7,577,18184,5290,166716,1.03,19.9,64.0,39,10423,45,12147,1.00,117.9,0.9,4721,121412,4212,108323,1.04,15.5,47.4,613,12540,3575,73134,1.05,16.1,32.9,28,2296,3239,265574,1.01,35.3,61.8,48,14710,325,99570,1.00,89.5,8.7,346,26997,2409,187975,1.01,49.4,32.0,48529,939053,8835,170966,1.05,19.6,61.6
